date_key,order_date,month,month_name,year,quarter,day_of_week,season
20251124,2025-11-24,11,November,2025,Q4,Monday,Autumn
20250803,2025-08-03,8,August,2025,Q3,Sunday,Summer
20250811,2025-08-11,8,August,2025,Q3,Monday,Summer
20250903,2025-09-03,9,September,2025,Q3,Wednesday,Autumn
20260331,2026-03-31,3,March,2026,Q1,Tuesday,Spring/Ramazan
20260113,2026-01-13,1,January,2026,Q1,Tuesday,Winter
20250823,2025-08-23,8,August,2025,Q3,Saturday,Summer
20250324,2025-03-24,3,March,2025,Q1,Monday,Spring/Ramazan
20260214,2026-02-14,2,February,2026,Q1,Saturday,Winter
20250313,2025-03-13,3,March,2025,Q1,Thursday,Spring/Ramazan
20250825,2025-08-25,8,August,2025,Q3,Monday,Summer
20250802,2025-08-02,8,August,2025,Q3,Saturday,Summer
20250923,2025-09-23,9,September,2025,Q3,Tuesday,Autumn
20250110,2025-01-10,1,January,2025,Q1,Friday,Winter
20250806,2025-08-06,8,August,2025,Q3,Wednesday,Summer
20260210,2026-02-10,2,February,2026,Q1,Tuesday,Winter
20251204,2025-12-04,12,December,2025,Q4,Thursday,Winter
20250622,2025-06-22,6,June,2025,Q2,Sunday,Summer
20250503,2025-05-03,5,May,2025,Q2,Saturday,Spring/Ramazan
20250111,2025-01-11,1,January,2025,Q1,Saturday,Winter
20250308,2025-03-08,3,March,2025,Q1,Saturday,Spring/Ramazan
20250103,2025-01-03,1,January,2025,Q1,Friday,Winter
20250815,2025-08-15,8,August,2025,Q3,Friday,Summer
20250303,2025-03-03,3,March,2025,Q1,Monday,Spring/Ramazan
20251205,2025-12-05,12,December,2025,Q4,Friday,Winter
20251202,2025-12-02,12,December,2025,Q4,Tuesday,Winter
20250119,2025-01-19,1,January,2025,Q1,Sunday,Winter
20251208,2025-12-08,12,December,2025,Q4,Monday,Winter
20260218,2026-02-18,2,February,2026,Q1,Wednesday,Winter
20260311,2026-03-11,3,March,2026,Q1,Wednesday,Spring/Ramazan
20250817,2025-08-17,8,August,2025,Q3,Sunday,Summer
20260107,2026-01-07,1,January,2026,Q1,Wednesday,Winter
20251017,2025-10-17,10,October,2025,Q4,Friday,Autumn
20260406,2026-04-06,4,April,2026,Q2,Monday,Spring/Ramazan
20250213,2025-02-13,2,February,2025,Q1,Thursday,Winter
20250414,2025-04-14,4,April,2025,Q2,Monday,Spring/Ramazan
20251004,2025-10-04,10,October,2025,Q4,Saturday,Autumn
20260302,2026-03-02,3,March,2026,Q1,Monday,Spring/Ramazan
20251211,2025-12-11,12,December,2025,Q4,Thursday,Winter
20250307,2025-03-07,3,March,2025,Q1,Friday,Spring/Ramazan
20250523,2025-05-23,5,May,2025,Q2,Friday,Spring/Ramazan
20251014,2025-10-14,10,October,2025,Q4,Tuesday,Autumn
20250920,2025-09-20,9,September,2025,Q3,Saturday,Autumn
20250623,2025-06-23,6,June,2025,Q2,Monday,Summer
20251222,2025-12-22,12,December,2025,Q4,Monday,Winter
20260318,2026-03-18,3,March,2026,Q1,Wednesday,Spring/Ramazan
20250408,2025-04-08,4,April,2025,Q2,Tuesday,Spring/Ramazan
20260105,2026-01-05,1,January,2026,Q1,Monday,Winter
20251028,2025-10-28,10,October,2025,Q4,Tuesday,Autumn
20250207,2025-02-07,2,February,2025,Q1,Friday,Winter
20250420,2025-04-20,4,April,2025,Q2,Sunday,Spring/Ramazan
20250430,2025-04-30,4,April,2025,Q2,Wednesday,Spring/Ramazan
20250502,2025-05-02,5,May,2025,Q2,Friday,Spring/Ramazan
20250520,2025-05-20,5,May,2025,Q2,Tuesday,Spring/Ramazan
20260314,2026-03-14,3,March,2026,Q1,Saturday,Spring/Ramazan
20250717,2025-07-17,7,July,2025,Q3,Thursday,Summer
20251224,2025-12-24,12,December,2025,Q4,Wednesday,Winter
20250210,2025-02-10,2,February,2025,Q1,Monday,Winter
20250219,2025-02-19,2,February,2025,Q1,Wednesday,Winter
20251107,2025-11-07,11,November,2025,Q4,Friday,Autumn
20251126,2025-11-26,11,November,2025,Q4,Wednesday,Autumn
20250911,2025-09-11,9,September,2025,Q3,Thursday,Autumn
20260112,2026-01-12,1,January,2026,Q1,Monday,Winter
20250129,2025-01-29,1,January,2025,Q1,Wednesday,Winter
20260211,2026-02-11,2,February,2026,Q1,Wednesday,Winter
20260121,2026-01-21,1,January,2026,Q1,Wednesday,Winter
20250331,2025-03-31,3,March,2025,Q1,Monday,Spring/Ramazan
20250921,2025-09-21,9,September,2025,Q3,Sunday,Autumn
20250309,2025-03-09,3,March,2025,Q1,Sunday,Spring/Ramazan
20250807,2025-08-07,8,August,2025,Q3,Thursday,Summer
20250604,2025-06-04,6,June,2025,Q2,Wednesday,Summer
20250601,2025-06-01,6,June,2025,Q2,Sunday,Summer
20250423,2025-04-23,4,April,2025,Q2,Wednesday,Spring/Ramazan
20250325,2025-03-25,3,March,2025,Q1,Tuesday,Spring/Ramazan
20250919,2025-09-19,9,September,2025,Q3,Friday,Autumn
20250209,2025-02-09,2,February,2025,Q1,Sunday,Winter
20250404,2025-04-04,4,April,2025,Q2,Friday,Spring/Ramazan
20260116,2026-01-16,1,January,2026,Q1,Friday,Winter
20260223,2026-02-23,2,February,2026,Q1,Monday,Winter
20260415,2026-04-15,4,April,2026,Q2,Wednesday,Spring/Ramazan
20250108,2025-01-08,1,January,2025,Q1,Wednesday,Winter
20251226,2025-12-26,12,December,2025,Q4,Friday,Winter
20250915,2025-09-15,9,September,2025,Q3,Monday,Autumn
20250228,2025-02-28,2,February,2025,Q1,Friday,Winter
20250916,2025-09-16,9,September,2025,Q3,Tuesday,Autumn
20250521,2025-05-21,5,May,2025,Q2,Wednesday,Spring/Ramazan
20251115,2025-11-15,11,November,2025,Q4,Saturday,Autumn
20251219,2025-12-19,12,December,2025,Q4,Friday,Winter
20250630,2025-06-30,6,June,2025,Q2,Monday,Summer
20260414,2026-04-14,4,April,2026,Q2,Tuesday,Spring/Ramazan
20250302,2025-03-02,3,March,2025,Q1,Sunday,Spring/Ramazan
20250410,2025-04-10,4,April,2025,Q2,Thursday,Spring/Ramazan
20250808,2025-08-08,8,August,2025,Q3,Friday,Summer
20250831,2025-08-31,8,August,2025,Q3,Sunday,Summer
20260304,2026-03-04,3,March,2026,Q1,Wednesday,Spring/Ramazan
20250506,2025-05-06,5,May,2025,Q2,Tuesday,Spring/Ramazan
20250121,2025-01-21,1,January,2025,Q1,Tuesday,Winter
20250330,2025-03-30,3,March,2025,Q1,Sunday,Spring/Ramazan
20250620,2025-06-20,6,June,2025,Q2,Friday,Summer
20250329,2025-03-29,3,March,2025,Q1,Saturday,Spring/Ramazan
20250828,2025-08-28,8,August,2025,Q3,Thursday,Summer
20250201,2025-02-01,2,February,2025,Q1,Saturday,Winter
20260403,2026-04-03,4,April,2026,Q2,Friday,Spring/Ramazan
20251227,2025-12-27,12,December,2025,Q4,Saturday,Winter
20260405,2026-04-05,4,April,2026,Q2,Sunday,Spring/Ramazan
20260321,2026-03-21,3,March,2026,Q1,Saturday,Spring/Ramazan
20250814,2025-08-14,8,August,2025,Q3,Thursday,Summer
20251022,2025-10-22,10,October,2025,Q4,Wednesday,Autumn
20260106,2026-01-06,1,January,2026,Q1,Tuesday,Winter
20250125,2025-01-25,1,January,2025,Q1,Saturday,Winter
20260110,2026-01-10,1,January,2026,Q1,Saturday,Winter
20260215,2026-02-15,2,February,2026,Q1,Sunday,Winter
20250131,2025-01-31,1,January,2025,Q1,Friday,Winter
20250701,2025-07-01,7,July,2025,Q3,Tuesday,Summer
20250723,2025-07-23,7,July,2025,Q3,Wednesday,Summer
20251122,2025-11-22,11,November,2025,Q4,Saturday,Autumn
20260326,2026-03-26,3,March,2026,Q1,Thursday,Spring/Ramazan
20260219,2026-02-19,2,February,2026,Q1,Thursday,Winter
20260131,2026-01-31,1,January,2026,Q1,Saturday,Winter
20250609,2025-06-09,6,June,2025,Q2,Monday,Summer
20250126,2025-01-26,1,January,2025,Q1,Sunday,Winter
20250605,2025-06-05,6,June,2025,Q2,Thursday,Summer
20250117,2025-01-17,1,January,2025,Q1,Friday,Winter
20250112,2025-01-12,1,January,2025,Q1,Sunday,Winter
20250724,2025-07-24,7,July,2025,Q3,Thursday,Summer
20260316,2026-03-16,3,March,2026,Q1,Monday,Spring/Ramazan
20251129,2025-11-29,11,November,2025,Q4,Saturday,Autumn
20250221,2025-02-21,2,February,2025,Q1,Friday,Winter
20251123,2025-11-23,11,November,2025,Q4,Sunday,Autumn
20250616,2025-06-16,6,June,2025,Q2,Monday,Summer
20260204,2026-02-04,2,February,2026,Q1,Wednesday,Winter
20250511,2025-05-11,5,May,2025,Q2,Sunday,Spring/Ramazan
20250909,2025-09-09,9,September,2025,Q3,Tuesday,Autumn
20250930,2025-09-30,9,September,2025,Q3,Tuesday,Autumn
20250714,2025-07-14,7,July,2025,Q3,Monday,Summer
20250314,2025-03-14,3,March,2025,Q1,Friday,Spring/Ramazan
20250706,2025-07-06,7,July,2025,Q3,Sunday,Summer
20250322,2025-03-22,3,March,2025,Q1,Saturday,Spring/Ramazan
20251209,2025-12-09,12,December,2025,Q4,Tuesday,Winter
20250323,2025-03-23,3,March,2025,Q1,Sunday,Spring/Ramazan
20250208,2025-02-08,2,February,2025,Q1,Saturday,Winter
20250429,2025-04-29,4,April,2025,Q2,Tuesday,Spring/Ramazan
20251013,2025-10-13,10,October,2025,Q4,Monday,Autumn
20260313,2026-03-13,3,March,2026,Q1,Friday,Spring/Ramazan
20260404,2026-04-04,4,April,2026,Q2,Saturday,Spring/Ramazan
20250507,2025-05-07,5,May,2025,Q2,Wednesday,Spring/Ramazan
20250529,2025-05-29,5,May,2025,Q2,Thursday,Spring/Ramazan
20250510,2025-05-10,5,May,2025,Q2,Saturday,Spring/Ramazan
20250206,2025-02-06,2,February,2025,Q1,Thursday,Winter
20250225,2025-02-25,2,February,2025,Q1,Tuesday,Winter
20250819,2025-08-19,8,August,2025,Q3,Tuesday,Summer
20250725,2025-07-25,7,July,2025,Q3,Friday,Summer
20250922,2025-09-22,9,September,2025,Q3,Monday,Autumn
20260322,2026-03-22,3,March,2026,Q1,Sunday,Spring/Ramazan
20250216,2025-02-16,2,February,2025,Q1,Sunday,Winter
20250528,2025-05-28,5,May,2025,Q2,Wednesday,Spring/Ramazan
20250315,2025-03-15,3,March,2025,Q1,Saturday,Spring/Ramazan
20250613,2025-06-13,6,June,2025,Q2,Friday,Summer
20251207,2025-12-07,12,December,2025,Q4,Sunday,Winter
20260205,2026-02-05,2,February,2026,Q1,Thursday,Winter
20250127,2025-01-27,1,January,2025,Q1,Monday,Winter
20250415,2025-04-15,4,April,2025,Q2,Tuesday,Spring/Ramazan
20250710,2025-07-10,7,July,2025,Q3,Thursday,Summer
20260102,2026-01-02,1,January,2026,Q1,Friday,Winter
20250109,2025-01-09,1,January,2025,Q1,Thursday,Winter
20260407,2026-04-07,4,April,2026,Q2,Tuesday,Spring/Ramazan
20250813,2025-08-13,8,August,2025,Q3,Wednesday,Summer
20250310,2025-03-10,3,March,2025,Q1,Monday,Spring/Ramazan
20250720,2025-07-20,7,July,2025,Q3,Sunday,Summer
20260305,2026-03-05,3,March,2026,Q1,Thursday,Spring/Ramazan
20260221,2026-02-21,2,February,2026,Q1,Saturday,Winter
20260307,2026-03-07,3,March,2026,Q1,Saturday,Spring/Ramazan
20251005,2025-10-05,10,October,2025,Q4,Sunday,Autumn
20250113,2025-01-13,1,January,2025,Q1,Monday,Winter
20250729,2025-07-29,7,July,2025,Q3,Tuesday,Summer
20250914,2025-09-14,9,September,2025,Q3,Sunday,Autumn
20251106,2025-11-06,11,November,2025,Q4,Thursday,Autumn
20250608,2025-06-08,6,June,2025,Q2,Sunday,Summer
20260220,2026-02-20,2,February,2026,Q1,Friday,Winter
20250505,2025-05-05,5,May,2025,Q2,Monday,Spring/Ramazan
20250517,2025-05-17,5,May,2025,Q2,Saturday,Spring/Ramazan
20251230,2025-12-30,12,December,2025,Q4,Tuesday,Winter
20250821,2025-08-21,8,August,2025,Q3,Thursday,Summer
20250702,2025-07-02,7,July,2025,Q3,Wednesday,Summer
20250205,2025-02-05,2,February,2025,Q1,Wednesday,Winter
20251030,2025-10-30,10,October,2025,Q4,Thursday,Autumn
20260412,2026-04-12,4,April,2026,Q2,Sunday,Spring/Ramazan
20250224,2025-02-24,2,February,2025,Q1,Monday,Winter
20250926,2025-09-26,9,September,2025,Q3,Friday,Autumn
20251010,2025-10-10,10,October,2025,Q4,Friday,Autumn
20250215,2025-02-15,2,February,2025,Q1,Saturday,Winter
20260123,2026-01-23,1,January,2026,Q1,Friday,Winter
20250421,2025-04-21,4,April,2025,Q2,Monday,Spring/Ramazan
20250409,2025-04-09,4,April,2025,Q2,Wednesday,Spring/Ramazan
20260128,2026-01-28,1,January,2026,Q1,Wednesday,Winter
20250809,2025-08-09,8,August,2025,Q3,Saturday,Summer
20260317,2026-03-17,3,March,2026,Q1,Tuesday,Spring/Ramazan
20250114,2025-01-14,1,January,2025,Q1,Tuesday,Winter
20250824,2025-08-24,8,August,2025,Q3,Sunday,Summer
20250707,2025-07-07,7,July,2025,Q3,Monday,Summer
20251114,2025-11-14,11,November,2025,Q4,Friday,Autumn
20260330,2026-03-30,3,March,2026,Q1,Monday,Spring/Ramazan
20250406,2025-04-06,4,April,2025,Q2,Sunday,Spring/Ramazan
20260109,2026-01-09,1,January,2026,Q1,Friday,Winter
20251225,2025-12-25,12,December,2025,Q4,Thursday,Winter
20250424,2025-04-24,4,April,2025,Q2,Thursday,Spring/Ramazan
20250908,2025-09-08,9,September,2025,Q3,Monday,Autumn
20260206,2026-02-06,2,February,2026,Q1,Friday,Winter
20250730,2025-07-30,7,July,2025,Q3,Wednesday,Summer
20260327,2026-03-27,3,March,2026,Q1,Friday,Spring/Ramazan
20260225,2026-02-25,2,February,2026,Q1,Wednesday,Winter
20251007,2025-10-07,10,October,2025,Q4,Tuesday,Autumn
20250519,2025-05-19,5,May,2025,Q2,Monday,Spring/Ramazan
20250928,2025-09-28,9,September,2025,Q3,Sunday,Autumn
20250107,2025-01-07,1,January,2025,Q1,Tuesday,Winter
20250705,2025-07-05,7,July,2025,Q3,Saturday,Summer
20250621,2025-06-21,6,June,2025,Q2,Saturday,Summer
20250104,2025-01-04,1,January,2025,Q1,Saturday,Winter
20250611,2025-06-11,6,June,2025,Q2,Wednesday,Summer
20250721,2025-07-21,7,July,2025,Q3,Monday,Summer
20250226,2025-02-26,2,February,2025,Q1,Wednesday,Winter
20250105,2025-01-05,1,January,2025,Q1,Sunday,Winter
20250317,2025-03-17,3,March,2025,Q1,Monday,Spring/Ramazan
20251218,2025-12-18,12,December,2025,Q4,Thursday,Winter
20250204,2025-02-04,2,February,2025,Q1,Tuesday,Winter
20250102,2025-01-02,1,January,2025,Q1,Thursday,Winter
20250320,2025-03-20,3,March,2025,Q1,Thursday,Spring/Ramazan
20260104,2026-01-04,1,January,2026,Q1,Sunday,Winter
20260306,2026-03-06,3,March,2026,Q1,Friday,Spring/Ramazan
20260114,2026-01-14,1,January,2026,Q1,Wednesday,Winter
20251104,2025-11-04,11,November,2025,Q4,Tuesday,Autumn
20250101,2025-01-01,1,January,2025,Q1,Wednesday,Winter
20260228,2026-02-28,2,February,2026,Q1,Saturday,Winter
20250202,2025-02-02,2,February,2025,Q1,Sunday,Winter
20251214,2025-12-14,12,December,2025,Q4,Sunday,Winter
20250912,2025-09-12,9,September,2025,Q3,Friday,Autumn
20250123,2025-01-23,1,January,2025,Q1,Thursday,Winter
20250719,2025-07-19,7,July,2025,Q3,Saturday,Summer
20260212,2026-02-12,2,February,2026,Q1,Thursday,Winter
20250628,2025-06-28,6,June,2025,Q2,Saturday,Summer
20250816,2025-08-16,8,August,2025,Q3,Saturday,Summer
20260227,2026-02-27,2,February,2026,Q1,Friday,Winter
20260224,2026-02-24,2,February,2026,Q1,Tuesday,Winter
20260409,2026-04-09,4,April,2026,Q2,Thursday,Spring/Ramazan
20260119,2026-01-19,1,January,2026,Q1,Monday,Winter
20251201,2025-12-01,12,December,2025,Q4,Monday,Winter
20250925,2025-09-25,9,September,2025,Q3,Thursday,Autumn
20260308,2026-03-08,3,March,2026,Q1,Sunday,Spring/Ramazan
20250128,2025-01-28,1,January,2025,Q1,Tuesday,Winter
20251228,2025-12-28,12,December,2025,Q4,Sunday,Winter
20250106,2025-01-06,1,January,2025,Q1,Monday,Winter
20260130,2026-01-30,1,January,2026,Q1,Friday,Winter
20251102,2025-11-02,11,November,2025,Q4,Sunday,Autumn
20250805,2025-08-05,8,August,2025,Q3,Tuesday,Summer
20250731,2025-07-31,7,July,2025,Q3,Thursday,Summer
20251112,2025-11-12,11,November,2025,Q4,Wednesday,Autumn
20260410,2026-04-10,4,April,2026,Q2,Friday,Spring/Ramazan
20250130,2025-01-30,1,January,2025,Q1,Thursday,Winter
20250812,2025-08-12,8,August,2025,Q3,Tuesday,Summer
20260209,2026-02-09,2,February,2026,Q1,Monday,Winter
20250501,2025-05-01,5,May,2025,Q2,Thursday,Spring/Ramazan
20250607,2025-06-07,6,June,2025,Q2,Saturday,Summer
20250116,2025-01-16,1,January,2025,Q1,Thursday,Winter
20251231,2025-12-31,12,December,2025,Q4,Wednesday,Winter
20251108,2025-11-08,11,November,2025,Q4,Saturday,Autumn
20260101,2026-01-01,1,January,2026,Q1,Thursday,Winter
20250425,2025-04-25,4,April,2025,Q2,Friday,Spring/Ramazan
20250115,2025-01-15,1,January,2025,Q1,Wednesday,Winter
20250619,2025-06-19,6,June,2025,Q2,Thursday,Summer
20250328,2025-03-28,3,March,2025,Q1,Friday,Spring/Ramazan
20251026,2025-10-26,10,October,2025,Q4,Sunday,Autumn
20250712,2025-07-12,7,July,2025,Q3,Saturday,Summer
20250522,2025-05-22,5,May,2025,Q2,Thursday,Spring/Ramazan
20260222,2026-02-22,2,February,2026,Q1,Sunday,Winter
20250304,2025-03-04,3,March,2025,Q1,Tuesday,Spring/Ramazan
20250929,2025-09-29,9,September,2025,Q3,Monday,Autumn
20260208,2026-02-08,2,February,2026,Q1,Sunday,Winter
20250518,2025-05-18,5,May,2025,Q2,Sunday,Spring/Ramazan
20250403,2025-04-03,4,April,2025,Q2,Thursday,Spring/Ramazan
20250305,2025-03-05,3,March,2025,Q1,Wednesday,Spring/Ramazan
20250905,2025-09-05,9,September,2025,Q3,Friday,Autumn
20260129,2026-01-29,1,January,2026,Q1,Thursday,Winter
20250612,2025-06-12,6,June,2025,Q2,Thursday,Summer
20250411,2025-04-11,4,April,2025,Q2,Friday,Spring/Ramazan
20250703,2025-07-03,7,July,2025,Q3,Thursday,Summer
20250602,2025-06-02,6,June,2025,Q2,Monday,Summer
20260127,2026-01-27,1,January,2026,Q1,Tuesday,Winter
20251103,2025-11-03,11,November,2025,Q4,Monday,Autumn
20250610,2025-06-10,6,June,2025,Q2,Tuesday,Summer
20260125,2026-01-25,1,January,2026,Q1,Sunday,Winter
20251111,2025-11-11,11,November,2025,Q4,Tuesday,Autumn
20250504,2025-05-04,5,May,2025,Q2,Sunday,Spring/Ramazan
20260303,2026-03-03,3,March,2026,Q1,Tuesday,Spring/Ramazan
20250818,2025-08-18,8,August,2025,Q3,Monday,Summer
20250407,2025-04-07,4,April,2025,Q2,Monday,Spring/Ramazan
20250722,2025-07-22,7,July,2025,Q3,Tuesday,Summer
20251002,2025-10-02,10,October,2025,Q4,Thursday,Autumn
20260216,2026-02-16,2,February,2026,Q1,Monday,Winter
20251119,2025-11-19,11,November,2025,Q4,Wednesday,Autumn
20251203,2025-12-03,12,December,2025,Q4,Wednesday,Winter
20250306,2025-03-06,3,March,2025,Q1,Thursday,Spring/Ramazan
20250810,2025-08-10,8,August,2025,Q3,Sunday,Summer
20250904,2025-09-04,9,September,2025,Q3,Thursday,Autumn
20260309,2026-03-09,3,March,2026,Q1,Monday,Spring/Ramazan
20251003,2025-10-03,10,October,2025,Q4,Friday,Autumn
20250526,2025-05-26,5,May,2025,Q2,Monday,Spring/Ramazan
20251113,2025-11-13,11,November,2025,Q4,Thursday,Autumn
20260122,2026-01-22,1,January,2026,Q1,Thursday,Winter
20260207,2026-02-07,2,February,2026,Q1,Saturday,Winter
20250902,2025-09-02,9,September,2025,Q3,Tuesday,Autumn
20250223,2025-02-23,2,February,2025,Q1,Sunday,Winter
20260118,2026-01-18,1,January,2026,Q1,Sunday,Winter
20260226,2026-02-26,2,February,2026,Q1,Thursday,Winter
20251025,2025-10-25,10,October,2025,Q4,Saturday,Autumn
20250527,2025-05-27,5,May,2025,Q2,Tuesday,Spring/Ramazan
20250214,2025-02-14,2,February,2025,Q1,Friday,Winter
20250906,2025-09-06,9,September,2025,Q3,Saturday,Autumn
20251213,2025-12-13,12,December,2025,Q4,Saturday,Winter
20251216,2025-12-16,12,December,2025,Q4,Tuesday,Winter
20250417,2025-04-17,4,April,2025,Q2,Thursday,Spring/Ramazan
20251006,2025-10-06,10,October,2025,Q4,Monday,Autumn
20260324,2026-03-24,3,March,2026,Q1,Tuesday,Spring/Ramazan
20250728,2025-07-28,7,July,2025,Q3,Monday,Summer
20251009,2025-10-09,10,October,2025,Q4,Thursday,Autumn
20260413,2026-04-13,4,April,2026,Q2,Monday,Spring/Ramazan
20260117,2026-01-17,1,January,2026,Q1,Saturday,Winter
20260310,2026-03-10,3,March,2026,Q1,Tuesday,Spring/Ramazan
20250118,2025-01-18,1,January,2025,Q1,Saturday,Winter
20250913,2025-09-13,9,September,2025,Q3,Saturday,Autumn
20250918,2025-09-18,9,September,2025,Q3,Thursday,Autumn
20250422,2025-04-22,4,April,2025,Q2,Tuesday,Spring/Ramazan
20250718,2025-07-18,7,July,2025,Q3,Friday,Summer
20250319,2025-03-19,3,March,2025,Q1,Wednesday,Spring/Ramazan
20250525,2025-05-25,5,May,2025,Q2,Sunday,Spring/Ramazan
20251220,2025-12-20,12,December,2025,Q4,Saturday,Winter
20251031,2025-10-31,10,October,2025,Q4,Friday,Autumn
20251130,2025-11-30,11,November,2025,Q4,Sunday,Autumn
20250514,2025-05-14,5,May,2025,Q2,Wednesday,Spring/Ramazan
20250412,2025-04-12,4,April,2025,Q2,Saturday,Spring/Ramazan
20251118,2025-11-18,11,November,2025,Q4,Tuesday,Autumn
20250708,2025-07-08,7,July,2025,Q3,Tuesday,Summer
20260111,2026-01-11,1,January,2026,Q1,Sunday,Winter
20260103,2026-01-03,1,January,2026,Q1,Saturday,Winter
20250627,2025-06-27,6,June,2025,Q2,Friday,Summer
