product_key,product_name,category,product_id
77,Marker set 6pcs,Stationery,PROD0077
78,Nestle Yogurt 400g,Dairy,PROD0078
79,Ariel Detergent 2kg,Grocery,PROD0079
80,Sponge Scrubber 3pcs,Household,PROD0080
81,Chicken Whole 1kg,Meat & Seafood,PROD0081
82,Bathroom Mat,Household,PROD0082
83,Scissors,Stationery,PROD0083
84,Cupcake 2pcs,Bakery,PROD0084
85,Chocolate Cake slice,Bakery,PROD0085
86,Apples 1kg,Fruits & Vegetables,PROD0086
87,Stapler,Stationery,PROD0087
88,Pencil box,Stationery,PROD0088
89,Lassi Nurpur 500ml,Dairy,PROD0089
90,Cream Cheese 180g,Dairy,PROD0090
91,Bananas dozen,Fruits & Vegetables,PROD0091
92,Brown Bread,Bakery,PROD0092
93,Ginger 250g,Fruits & Vegetables,PROD0093
94,Gourmet Eggs 12pcs,Dairy,PROD0094
95,Nurpur Desi Ghee 1kg,Dairy,PROD0095
96,Tapal Danedar Tea 950g,Grocery,PROD0096
97,Plastic Storage Box,Household,PROD0097
98,Frisbee,Toys & Sports,PROD0098
99,Dove Soap 3pcs,Personal Care,PROD0099
100,Barbie doll,Toys & Sports,PROD0100
101,Lawn Fabric 3m,Clothing & Fabric,PROD0101
102,Olper's Cream 200ml,Dairy,PROD0102
103,Earphones,Electronics,PROD0103
104,Nestle Milo 400g,Grocery,PROD0104
105,Disprin 10 tablets,Pharmacy & Health,PROD0105
106,Dettol Soap 115g,Pharmacy & Health,PROD0106
107,Pen set 5pcs,Stationery,PROD0107
108,National Pickle 800g,Grocery,PROD0108
109,Extension Cord 3m,Electronics,PROD0109
110,AA Batteries 4pcs,Electronics,PROD0110
111,Lego basic set,Toys & Sports,PROD0111
112,Olper's Milk 1L,Grocery,PROD0112
